"RevisionKey","Repo","Abbreviation","WorkshopId","CatalogueArchiveId","CatalogueUrl","SkymodsTitle","NewestOrdinal","IsCurrentRevision","RawDisplayedTime","NormalizedUtcTime","TimeParsed","DownloadUrl","PageReferenceYear","RawPageSha256","ContentVerified"
"2220098919|33","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","33","False","8 Sep, 2022 at 19:19 UTC","2022-09-08 19:19","True","https://modsbase.com/k587vxj3hhrj/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|34","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","34","False","3 Aug, 2022 at 08:23 UTC","2022-08-03 08:23","True","https://modsbase.com/37ysuz6k8pf0/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|35","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","35","False","21 Jun, 2022 at 14:04 UTC","2022-06-21 14:04","True","https://modsbase.com/ose44lp1y44b/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|36","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","36","False","7 Jun, 2022 at 10:11 UTC","2022-06-07 10:11","True","https://modsbase.com/7brdh0803bz0/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|37","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","37","False","1 Jun, 2022 at 17:21 UTC","2022-06-01 17:21","True","https://modsbase.com/6n3wpd3upger/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|38","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","38","False","31 May, 2022 at 16:32 UTC","2022-05-31 16:32","True","https://modsbase.com/lm5ecx0usaxq/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|39","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","39","False","16 May, 2022 at 13:07 UTC","2022-05-16 13:07","True","https://modsbase.com/qq73xoephwcs/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|40","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","40","False","28 Apr, 2022 at 10:52 UTC","2022-04-28 10:52","True","https://modsbase.com/4njj2pzbhocw/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|41","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","41","False","17 Apr, 2022 at 10:50 UTC","2022-04-17 10:50","True","https://modsbase.com/xpm4v6bd0xy5/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|42","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","42","False","10 Mar, 2022 at 17:53 UTC","2022-03-10 17:53","True","https://modsbase.com/w99551x686hy/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|43","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","43","False","7 Mar, 2022 at 16:14 UTC","2022-03-07 16:14","True","https://modsbase.com/bbw0fiwg5eci/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
