"Source","Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB","MaxFileMiB","SampleText","SampleBinary","SampleUnknown","Classification"
"LocalRepoWorkingTree","EPE-CFP","EPE-CFP","2996881191",".png","1","0,595","0,595","0","1","0","Binary"
"LocalRepoWorkingTree","EPE-CFP","EPE-CFP","2996881191",".txt","41","2,273","0,614","12","0","0","Text"
"LocalRepoWorkingTree","EPE-CFP","EPE-CFP","2996881191",".yml","4","0,139","0,077","4","0","0","Text"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".idx","1","0,013","0,013","0","1","0","Binary"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".pack","1","1,225","1,225","0","1","0","Binary"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".png","1","0,595","0,595","0","1","0","Binary"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".rev","1","0,002","0,002","0","1","0","Binary"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".txt","41","2,273","0,614","12","0","0","Text"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191",".yml","4","0,139","0,077","4","0","0","Text"
"SteamWorkshopCurrent","EPE-CFP","EPE-CFP","2996881191","<no-extension>","202","1,745","0,595","0","12","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".anim","978","507,121","2,277","0","12","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".asset","742","3,963","0,209","12","0","0","Text"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".dds","2888","2440,338","5,333","0","12","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".fbx","2","0,564","0,485","0","2","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gui","3","0,272","0,153","3","0","0","Text"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".mesh","1334","589,987","5,577","0","12","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".png","2","0,669","0,63","0","2","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".rar","3","1,815","1,368","0","3","0","Binary"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".shader","1","0,031","0,031","1","0","0","Text"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".txt","3664","91,725","1,192","12","0","0","Text"
