"Repo","Abbreviation","WorkshopId","Page","Url","FromCache","FetchedAtUtc","Sha256","RawFile"
"RICE","RICE","2273832430","3","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=3&l=english","True","2026-08-15T18:26:38.1505284Z","9c686615dc1799836640c5a5e7c05d57d3ef73274f42a1b780dc63f2fbca0987","raw-pages/2273832430/page-003.html"
"RICE","RICE","2273832430","4","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=4&l=english","True","2026-08-15T18:26:43.1574251Z","73793d8dbdfd443d89ea42b169f9b9ec04ca968b4dcf1fa90f313e82e7206036","raw-pages/2273832430/page-004.html"
"RICE","RICE","2273832430","5","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=5&l=english","True","2026-08-15T18:26:49.3103389Z","b8bff7d0453cb1713908b0d8d035692e5c48389fd0dd2d169e4548f98ed7c717","raw-pages/2273832430/page-005.html"
"RICE","RICE","2273832430","6","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=6&l=english","True","2026-08-15T18:35:56.9758901Z","1875f0192efead26fd9b7c69b4775761bea43247eb79ed58fdba9f0a7f5d7810","raw-pages/2273832430/page-006.html"
"RICE","RICE","2273832430","7","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=7&l=english","True","2026-08-15T18:36:02.0973278Z","0b7beb003d3f6bba4109ec8502f07717d17b0d8d76d1d32b651325a097b34fc8","raw-pages/2273832430/page-007.html"
"RICE","RICE","2273832430","8","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=8&l=english","True","2026-08-15T18:36:06.9022277Z","8ab1dc936b92b75b1cecf2a28c5baa291fcc9934667000e3a71fbad995f1dfad","raw-pages/2273832430/page-008.html"
"RICE","RICE","2273832430","9","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=9&l=english","True","2026-08-15T18:36:11.6119930Z","8396d62cd9c54e38666fddb2c4170f8c055385816306f267ba0f979ce332fda0","raw-pages/2273832430/page-009.html"
"RICE","RICE","2273832430","10","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=10&l=english","True","2026-08-15T18:36:18.0734801Z","c5665013fe125e0168b5b1ed5e590e4acc1c2a1ff9128dd1f7b44edcb4b6e10d","raw-pages/2273832430/page-010.html"
"RICE","RICE","2273832430","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=11&l=english","True","2026-08-15T18:36:22.8755530Z","e72f37ca759dbecf08e5fcba63a72f10b6de66c4b043888026873fe229becd8f","raw-pages/2273832430/page-011.html"
"RICE","RICE","2273832430","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2273832430?p=12&l=english","True","2026-08-15T18:36:28.4089026Z","fa2479783a13893bf088013f151aa23881c032e142665174a2cad56d36cb5a48","raw-pages/2273832430/page-012.html"
