"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsNewestOrdinal","SkymodsIsCurrentRevision","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","SkymodsDownloadUrl","Category","VerificationPriority","FirstPassRecommended","RelatedSteamEventCount","RelatedSteamEventKeys","RelatedGitCommitCount","RelatedGitCommitShas","Reason","ContentDownloaded","ContentVerified"
"RICE","RICE","2273832430","2273832430|4","4","False","2 May at 22:53 UTC","2026-05-02 22:53","https://modsbase.com/znh2er7kc3na/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|5","2","dd84e726f4a52dd2a25804a07605f7d0f8b147ad|d3f0ed7d2ba5c7fe349d23e4c90bd7bfdf25b5a4","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|5","5","False","28 Mar at 17:29 UTC","2026-03-28 17:29","https://modsbase.com/8ik6kdbwiiv4/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|7","1","857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7","git-commit-has-multiple-archive-candidates","False","False"
"RICE","RICE","2273832430","2273832430|6","6","False","10 Feb at 06:48 UTC","2026-02-10 06:48","https://modsbase.com/5pri41cwutdm/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|8","3","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5|e2f5f564b25bd86dd6517cc40bf7442475aed41c|9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|7","7","False","7 Feb at 21:01 UTC","2026-02-07 21:01","https://modsbase.com/t58kunxjf7hc/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|9","3","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5|e2f5f564b25bd86dd6517cc40bf7442475aed41c|9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|8","8","False","2 Feb at 08:04 UTC","2026-02-02 08:04","https://modsbase.com/4jhv6hims2uw/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|10","2","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f|49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|9","9","False","18 Dec, 2025 at 06:03 UTC","2025-12-18 06:03","https://modsbase.com/fkuaotc0iku5/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|11","3","3fccb9af9d3a57422f919b096eee2e1f9aca1f88|dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2|e3c5eb10aeee7604aec826fc62fcbc53d64284ec","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|10","10","False","14 Dec, 2025 at 06:59 UTC","2025-12-14 06:59","https://modsbase.com/d9u67pxcjoiy/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|12","3","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2|e3c5eb10aeee7604aec826fc62fcbc53d64284ec|3fccb9af9d3a57422f919b096eee2e1f9aca1f88","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|11","11","False","10 Dec, 2025 at 05:39 UTC","2025-12-10 05:39","https://modsbase.com/cugktbuse80e/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|13","4","e3c5eb10aeee7604aec826fc62fcbc53d64284ec|dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2|928fd31902aae67f7ed963ea988f98ed8a9746b2|138913511f7cc9aefa55a8c70b4546ee8509d5f6","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"RICE","RICE","2273832430","2273832430|29","29","False","6 Oct, 2024 at 10:11 UTC","2024-10-06 10:11","https://modsbase.com/zpoaedalnx3p/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2273832430|36","15","1e4238bd030ef259bcae60147126f3cc9c950ceb|9a3484844539b6a48bad484b98d189216412077d|9a8ce64d80233a6e638a628b3db4bbcea64c3ebb|4615a5c22b57137e721bbc088bf3847b0b524045|dd84e726f4a52dd2a25804a07605f7d0f8b147ad|d3f0ed7d2ba5c7fe349d23e4c90bd7bfdf25b5a4|857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7|e2f5f564b25bd86dd6517cc40bf7442475aed41c|49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5|9e37de2ebb79670977fa6a1f7ac4c334f2b6400f|3fccb9af9d3a57422f919b096eee2e1f9aca1f88|dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2|e3c5eb10aeee7604aec826fc62fcbc53d64284ec|928fd31902aae67f7ed963ea988f98ed8a9746b2|138913511f7cc9aefa55a8c70b4546ee8509d5f6","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|1","1","True","1 Aug at 15:11 UTC","2026-08-01 15:11","https://modsbase.com/rlcac140mlld/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|1","2","62f33e63129a4196cf45d750c5c4f9316cd368fe|4bb54881d2e35563f8db910cd3682869b875f706","current-head-evidence; archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top","False","False"
