"EventKey","Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","VerificationStatus","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","DescriptorWorkshopIdMatches","DescriptorCountInArchive","DescriptorRemoteFileId","AlignmentFound","DominantTemporalAlignment","BidirectionalUniqueAlignment","TemporalPairStatus","ObservedOffsetHours","ArchiveSha256","DuplicateArchiveCount","DuplicateArchiveRevisionKeys","DescriptorOnlyNearMatchCount","DescriptorOnlyNearMatchGitShas","Analysis07Reason"
"2273832430|7","RICE","RICE","2273832430","2273832430|5","UNIQUE_PROJECTED_GIT_MATCH","1","1","857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","6","d9e5b3b686cbfef2b8657eb5a6003f72e86eed97d813c7668348845c8d24ea23","1","2273832430|5","0","","git-commit-has-multiple-archive-candidates"
"2273832430|8","RICE","RICE","2273832430","2273832430|6","UNIQUE_PROJECTED_GIT_MATCH","3","1","e2f5f564b25bd86dd6517cc40bf7442475aed41c","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","8","2b5d1b6a682f70817510a18d0e846531a4bb30c70cee1373280da59893cf9cf4","1","2273832430|6","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2273832430|9","RICE","RICE","2273832430","2273832430|7","UNIQUE_PROJECTED_GIT_MATCH","3","1","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","8","a9dc6271206885ffb439ea47ca2f212a01e3023d7706592cdff5e0c294cf1143","1","2273832430|7","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2273832430|10","RICE","RICE","2273832430","2273832430|8","UNIQUE_PROJECTED_GIT_MATCH","2","1","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","8","0486bf28ef1109b3887076b3e7de5e7e06c481dfbe3b66f77db9e1bfbc57ff69","1","2273832430|8","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2273832430|11","RICE","RICE","2273832430","2273832430|9","UNIQUE_PROJECTED_GIT_MATCH","3","1","3fccb9af9d3a57422f919b096eee2e1f9aca1f88","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","8","6eafefa2bbbf63640346d36dc11a10f627974d292377535b6cc5e8dde5ebec0e","1","2273832430|9","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2273832430|12","RICE","RICE","2273832430","2273832430|10","UNIQUE_PROJECTED_GIT_MATCH","3","1","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","8","d99c9cb94a3db2c1d1c910f9c12dddcd35f801ecb14b82f548114523b3b8c32c","1","2273832430|10","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2273832430|13","RICE","RICE","2273832430","2273832430|11","UNIQUE_PROJECTED_GIT_MATCH","4","1","928fd31902aae67f7ed963ea988f98ed8a9746b2","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","8","1574f2076e9c9816f3a5b4e3272aae47797f1f6466d5d0cc10a44565d6ddf06f","1","2273832430|11","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2273832430|36","RICE","RICE","2273832430","2273832430|29","NO_PROJECTED_GIT_MATCH","15","0","","True","1","2273832430","True","True","True","BIDIRECTIONAL_UNIQUE","7","9f9b75e0a02fa35631fbbbdaf4448d35b98c264e212041ac125b0364f6ae9f87","1","2273832430|29","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2875587269|1","Special-World","SW","2875587269","2875587269|1","UNIQUE_PROJECTED_GIT_MATCH","2","1","62f33e63129a4196cf45d750c5c4f9316cd368fe","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","297d2cfce298b0dbf31830b123c4f232487cb27bf2e00f7e718a8e840cc8268c","2","2875587269|1;2875587269|2","0","","current-head-evidence; archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"2875587269|6","Special-World","SW","2875587269","2875587269|2","NO_PROJECTED_GIT_MATCH","2","0","","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","297d2cfce298b0dbf31830b123c4f232487cb27bf2e00f7e718a8e840cc8268c","2","2875587269|1;2875587269|2","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2875587269|16","Special-World","SW","2875587269","2875587269|3","UNIQUE_PROJECTED_GIT_MATCH","3","1","83032b87bb5b0f3ab378fb348fa4610f3ed71110","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","6c323e86ebdcadc59f604202b9bf06cf4da10cc0d498eba76d8a7405ca82a77e","1","2875587269|3","0","","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"2875587269|22","Special-World","SW","2875587269","2875587269|5","UNIQUE_PROJECTED_GIT_MATCH","3","1","1eeaf8d51248fc7c41d8340a9ce7353020550954","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","a9b7de71c52be5c849c4dc1e3926351ddb2b6e24cca5801ca59bdaeb700cc373","1","2875587269|5","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|23","Special-World","SW","2875587269","2875587269|6","UNIQUE_PROJECTED_GIT_MATCH","6","1","d78a822ab3d7e0eae87367e2a2230fd7ef0b7090","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","ce1d3409f4de998cfcc6916d73b77824f5c8cf70df4ae861efcbd49828fe462f","1","2875587269|6","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"2875587269|30","Special-World","SW","2875587269","2875587269|7","UNIQUE_PROJECTED_GIT_MATCH","3","1","079d5a19aae0272124debd3075f1be8c94c2a127","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","a2a8a509632ab01dfb6fdb7b396637aa11b566e3a9ee3574d8bf41afef970a14","1","2875587269|7","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|31","Special-World","SW","2875587269","2875587269|8","UNIQUE_PROJECTED_GIT_MATCH","4","1","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","e1d56be59f56bbd6b6f6358942e39fbf8346340a6326f2497741ea198718fb6e","1","2875587269|8","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
