"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","ModsbasePageUrl","DownloadMethod","ArchiveCachePath","ArchiveBytes","ArchiveMiB","ArchiveSha256","ArchiveFileCount","ArchiveRootSelection"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2220098919_3.zip","1039862786","991,69","2fda79b5c4bc80de76c37a7a35ebd266a78546edca0512f53658882a073114ed","3073","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|6","10 Feb at 06:48 UTC","2026-02-10 06:48","https://modsbase.com/5pri41cwutdm/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_6.zip","820621173","782,605","2b5d1b6a682f70817510a18d0e846531a4bb30c70cee1373280da59893cf9cf4","4059","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|7","7 Feb at 21:01 UTC","2026-02-07 21:01","https://modsbase.com/t58kunxjf7hc/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_7.zip","820644076","782,627","a9dc6271206885ffb439ea47ca2f212a01e3023d7706592cdff5e0c294cf1143","4060","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|8","2 Feb at 08:04 UTC","2026-02-02 08:04","https://modsbase.com/4jhv6hims2uw/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_8.zip","820491301","782,481","0486bf28ef1109b3887076b3e7de5e7e06c481dfbe3b66f77db9e1bfbc57ff69","4052","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|9","18 Dec, 2025 at 06:03 UTC","2025-12-18 06:03","https://modsbase.com/fkuaotc0iku5/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_9.zip","794404772","757,603","6eafefa2bbbf63640346d36dc11a10f627974d292377535b6cc5e8dde5ebec0e","3970","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|10","14 Dec, 2025 at 06:59 UTC","2025-12-14 06:59","https://modsbase.com/d9u67pxcjoiy/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_10.zip","794348579","757,55","d99c9cb94a3db2c1d1c910f9c12dddcd35f801ecb14b82f548114523b3b8c32c","3966","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|11","10 Dec, 2025 at 05:39 UTC","2025-12-10 05:39","https://modsbase.com/cugktbuse80e/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_11.zip","794316933","757,52","1574f2076e9c9816f3a5b4e3272aae47797f1f6466d5d0cc10a44565d6ddf06f","3965","EXPECTED_WORKSHOP_ID"
"RICE","RICE","2273832430","2273832430|29","6 Oct, 2024 at 10:11 UTC","2024-10-06 10:11","https://modsbase.com/zpoaedalnx3p/2273832430_Regional_Immersion_and_Cultural_Enrichment___40_RICE__41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2273832430_29.zip","657629990","627,165","9f9b75e0a02fa35631fbbbdaf4448d35b98c264e212041ac125b0364f6ae9f87","2905","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|1","1 Aug at 15:11 UTC","2026-08-01 15:11","https://modsbase.com/rlcac140mlld/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_1.zip","1011552727","964,692","297d2cfce298b0dbf31830b123c4f232487cb27bf2e00f7e718a8e840cc8268c","2982","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|2","22 Jul at 01:16 UTC","2026-07-22 01:16","https://modsbase.com/egjv5xsuroc9/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_2.zip","1011552727","964,692","297d2cfce298b0dbf31830b123c4f232487cb27bf2e00f7e718a8e840cc8268c","2982","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|3","10 Jul at 19:12 UTC","2026-07-10 19:12","https://modsbase.com/io1o3wevn7v4/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_3.zip","1170702936","1116,469","6c323e86ebdcadc59f604202b9bf06cf4da10cc0d498eba76d8a7405ca82a77e","3570","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|5","7 May at 22:20 UTC","2026-05-07 22:20","https://modsbase.com/j7dbgnz4dpx8/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_5.zip","1129506651","1077,181","a9b7de71c52be5c849c4dc1e3926351ddb2b6e24cca5801ca59bdaeb700cc373","3563","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|6","3 May at 02:37 UTC","2026-05-03 02:37","https://modsbase.com/l0puk4g8nj8v/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_6.zip","1129507048","1077,182","ce1d3409f4de998cfcc6916d73b77824f5c8cf70df4ae861efcbd49828fe462f","3563","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|7","22 Mar at 20:03 UTC","2026-03-22 20:03","https://modsbase.com/jvloum9zfyqw/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_7.zip","601326208","573,469","a2a8a509632ab01dfb6fdb7b396637aa11b566e3a9ee3574d8bf41afef970a14","3025","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|8","20 Mar at 21:07 UTC","2026-03-20 21:07","https://modsbase.com/ybm2xn431zs0/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_8.zip","601325589","573,469","e1d56be59f56bbd6b6f6358942e39fbf8346340a6326f2497741ea198718fb6e","3025","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|9","14 Mar at 23:20 UTC","2026-03-14 23:20","https://modsbase.com/absneyopuqs5/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_9.zip","623410728","594,531","f4dfddfcf5ca94581656ac871e8946896f94df11a5033cab1696e25ff4c7eeeb","3036","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|10","1 Mar at 15:42 UTC","2026-03-01 15:42","https://modsbase.com/xvf8zapknreq/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_10.zip","623719528","594,825","d00b6e598a53cfd5b47d1ce55ba014520ca21de43e08ae7397794dbfa309fe95","3037","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|11","22 Feb at 06:54 UTC","2026-02-22 06:54","https://modsbase.com/xjp1l0x5x93l/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_11.zip","616261856","587,713","85a9d579355a7234916ac696b6b6766d99dfe39488ff6e78458ec208e9863c80","3032","EXPECTED_WORKSHOP_ID"
